mode,method,sampleRate,duration,sampleCount,seed,inputSNRDb,outputSNRDb,nrmse,correlation,innovationWhitenessCost,lag1InnovationAutocorrelation,finalA,diagnosticLabel
DirectMessageBrownNoise,NoFilter,2000,0.5,1000,12345,-12,-1.594275625407705,1.201472351716887,0.2782320940285064,8.50543725313827,0.9868585875758529,,
DirectMessageBrownNoise,LowPass,2000,0.5,1000,12345,-12,-1.6762940889562041,1.2128712578868324,0.26447165589453975,8.211386903530668,0.9804514806564403,,
DirectMessageBrownNoise,FixedWhiteKalman,2000,0.5,1000,12345,-12,-1.5381952877905578,1.1937400491502101,0.28749234752600467,0.8698203626951475,0.6762288595592513,,
DirectMessageBrownNoise,AdaptiveAr1ColoredNoiseKalman,2000,0.5,1000,12345,-12,-1.6763087123538822,1.2128732998554053,0.26446917924746327,0.3745165803556255,0.5163976461338532,0.99,WhitenessOnly
DirectMessageBrownNoise,OscillatorKalman,2000,0.5,1000,12345,-12,-1.5519200770606425,1.195627798404442,0.2852370838398468,9.31198954227127,0.9941521692207667,,
DirectMessageBrownNoise,OscillatorAdaptiveAr1Kalman,2000,0.5,1000,12345,-12,-2.4846396882532353,1.3311652884748346,0.11399948737808573,6.47096818792177,0.9552239212611237,0.99,WhitenessOnly
PhaseDomainFmBrownNoise,NoFilter,2000,0.5,1000,12345,-12,-2.936735223137492,1.4022865261936657,0.016796249225887197,2.226793986229638e-39,-2.1605026745650442e-20,,
PhaseDomainFmBrownNoise,LowPass,2000,0.5,1000,12345,-12,-2.795693551934556,1.3797000422603376,0.048213896691511146,0.2767807866705221,0.38288641927380657,,
PhaseDomainFmBrownNoise,FixedWhiteKalman,2000,0.5,1000,12345,-12,-2.8512500538173944,1.3885531330103777,0.03596009840160682,0.059043940177654256,-0.001220908266822723,,
PhaseDomainFmBrownNoise,AdaptiveAr1ColoredNoiseKalman,2000,0.5,1000,12345,-12,-2.851239694159142,1.388551476884414,0.035962398019130606,0.06070230528213562,0.0032294711315824956,0.11993182783735826,NoMeaningfulWin
PhaseDomainFmBrownNoise,OscillatorKalman,2000,0.5,1000,12345,-12,-2.7271855723628664,1.368860774208178,0.06311009041522253,0.09645004427804055,0.12230965994903058,,
PhaseDomainFmBrownNoise,OscillatorAdaptiveAr1Kalman,2000,0.5,1000,12345,-12,-2.2545559155327637,1.2963664882789931,0.1597169640319184,0.050276282630322806,0.056314839991092464,0.6875217787963424,AdaptiveWin
