seed,inputSNRDb,messageHz,scalarLabel,windowedLabel,guardedLabel,guardedDeltaSNRDb,guardedWhitenessRatio,guardedFinalA,guardAccepted,guardAttenuated,guardRejected,guardTrigger,equivalencePass
12345,-18,10,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.2334147145904666,0.42421832872710774,0.9799037428830095,356,155,489,155,false
12345,-18,25,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.1360705948611809,0.4148354058932274,0.9790795986174687,367,151,482,151,false
12345,-18,50,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.07723305193749752,0.42608824492975955,0.99,415,84,501,84,false
12345,-12,10,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.13150145575274585,0.4199552365992393,0.9859440888298658,432,84,484,84,false
12345,-12,25,WhitenessOnly,WhitenessOnly,WhitenessOnly,-0.0010847092010290993,0.41681934359153777,0.9831578077416575,437,69,494,69,false
12345,-12,50,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.08864358715066167,0.48414078565440416,0.99,469,29,502,29,false
12345,-6,10,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.08758641658308175,0.5551143272435596,0.9889734188815296,482,29,489,29,false
12345,-6,25,WhitenessOnly,WhitenessOnly,WhitenessOnly,0.0060472470321437655,0.5094222172273499,0.9877681296162312,491,10,499,10,false
12345,-6,50,AdaptiveWin,NoMeaningfulWin,AdaptiveWin,0.016075854987791516,0.7372673080791994,0.99,493,1,506,1,false
23456,-18,10,WhitenessOnly,WhitenessOnly,WhitenessOnly,-0.8429463730859332,0.39335792607894754,0.920200302559179,367,131,502,131,false
23456,-18,25,WhitenessOnly,WhitenessOnly,WhitenessOnly,-0.8859036088027423,0.39106140150880275,0.9805622217942906,398,104,498,104,false
23456,-18,50,WhitenessOnly,WhitenessOnly,WhitenessOnly,-0.8495533257945524,0.4019175544405361,0.8983434880422804,462,51,487,51,false
23456,-12,10,WhitenessOnly,WhitenessOnly,WhitenessOnly,-0.49817974292469636,0.3992603823768071,0.9848475754719129,451,49,500,49,false
23456,-12,25,WhitenessOnly,WhitenessOnly,WhitenessOnly,-0.578439673110875,0.39612375121123106,0.9856950428427332,455,34,511,34,false
23456,-12,50,WhitenessOnly,WhitenessOnly,WhitenessOnly,-0.5195065657874842,0.4762470460015386,0.9860043346895452,510,10,480,10,false
23456,-6,10,WhitenessOnly,WhitenessOnly,WhitenessOnly,-0.025240696282215147,0.5096493375999974,0.9886820508620661,496,3,501,3,false
23456,-6,25,WhitenessOnly,AdaptiveWin,WhitenessOnly,-0.06852304278801213,0.5120058625044283,0.9892679535752166,500,1,499,1,false
23456,-6,50,WhitenessOnly,NoMeaningfulWin,WhitenessOnly,-0.08523333909694397,0.78649360553784,0.99,509,1,490,1,false
34567,-18,10,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.14200741095116243,0.34032683230534594,0.99,374,122,504,122,false
34567,-18,25,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.15432763506122882,0.3441739999499199,0.99,406,83,511,83,false
34567,-18,50,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.1351800786988413,0.4041638379972682,0.9799421935288674,467,38,495,38,false
34567,-12,10,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.07049448726631269,0.410965729680767,0.99,461,36,503,36,false
34567,-12,25,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.08610508389606153,0.4071726353943592,0.99,471,23,506,23,false
34567,-12,50,AdaptiveWin,NoMeaningfulWin,AdaptiveWin,0.010415233803961144,0.6135750088237256,0.9875333922768132,503,4,493,4,false
34567,-6,10,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.024572913000009855,0.7168585431122042,0.99,494,2,504,2,false
34567,-6,25,AdaptiveWin,WhitenessOnly,AdaptiveWin,0.08230510036804173,0.7018508151214137,0.99,491,1,508,1,false
34567,-6,50,WhitenessOnly,NoMeaningfulWin,WhitenessOnly,-0.06421802340235505,0.9041942045003577,0.99,512,0,488,0,false
