scenarioName,eventCount,cumulativeFinalGate,cumulativeFinalReason,cumulativeFinalConfidence,cumulativeFinalMissRate,cumulativeFinalMeanArrivalError,emaFinalGate,emaFinalReason,emaFinalConfidence,emaFinalMissRate,emaFinalArrivalError,cumulativeHealthyCount,cumulativeCanaryCount,cumulativeBlockedCount,cumulativeDisabledCount,cumulativeUnknownCount,emaHealthyCount,emaCanaryCount,emaBlockedCount,emaDisabledCount,emaUnknownCount,cumulativeTimeToBlock,emaTimeToBlock,cumulativeTimeToRecover,emaTimeToRecover,cumulativeChatterCount,emaChatterCount,highArrivalErrorObserved,recentFallbackObserved,recentStaleObserved,expectedBehaviorMet,notes
MatchThenFallbackThenRecover,15,HEALTHY,None,0.9500000000000006,0.13333333333333333,0,HEALTHY,None,0.9682257341450282,0.029400485099999988,0,5,2,8,0,0,7,2,6,0,0,1,5,2,11,5,4,false,true,false,true,degrade+recover
HealthyThenLateJitterBurst,19,HEALTHY,None,1,0,0.7894736842105263,HEALTHY,None,0.9748114725702313,0.018937371284999994,0.18937371284999988,15,2,2,0,0,13,4,2,0,0,1,9,2,11,3,5,true,false,false,true,arrival-error
AlternatingMatchMiss,12,BLOCKED,HighMissRate,0.19999999999999998,0.5,0,BLOCKED,HighMissRate,0.4129859959294999,0.5800933604699999,0,0,0,12,0,0,0,1,11,0,0,1,1,-1,-1,1,2,false,false,false,true,oscillating
StaleThenMatches,12,HEALTHY,None,0.8400000000000002,0.16666666666666666,0,HEALTHY,None,0.9815543662402997,0.014406237698999992,0,2,3,7,0,0,7,2,3,0,0,1,1,7,3,3,3,false,false,true,true,stale-recovery
FallbackSingleSpike,17,HEALTHY,None,1,0.058823529411764705,0,HEALTHY,None,0.9815424444300638,0.017294402999999993,0,8,2,7,0,0,10,2,5,0,0,1,8,2,13,5,4,false,true,false,true,single-spike
BoundaryCanaryConfidence,12,CANARY_ELIGIBLE,None,0.6800000000000002,0,0.5,HEALTHY,None,0.8575944641554998,0,0.7786488059999999,0,8,4,0,0,10,2,0,0,0,1,-1,4,-1,2,2,false,false,false,true,boundary-canary
BoundaryHealthyConfidence,12,HEALTHY,None,0.8600000000000003,0,0.25,HEALTHY,None,0.9287291608744999,0,0.25740078209999995,4,5,3,0,0,10,2,0,0,0,1,-1,3,-1,3,2,false,false,false,true,boundary-healthy
BoundaryMissRate,12,HEALTHY,None,0.8000000000000005,0.16666666666666666,0,HEALTHY,None,0.8728849533994998,0.12019440299999998,0,3,5,4,0,0,6,2,4,0,0,1,3,2,5,7,6,false,false,false,true,boundary-miss
BoundaryArrivalError,12,CANARY_ELIGIBLE,None,0.7000000000000002,0,0.8583333333333334,HEALTHY,None,0.8432203750819998,0.09979455149999998,0.5709985415399998,0,4,8,0,0,3,9,0,0,0,1,-1,6,-1,4,6,false,false,false,true,boundary-arrival
BurstyRealistic,18,BLOCKED,RecentStale,0.5400000000000003,0.2222222222222222,0.3888888888888889,HEALTHY,RecentStale,0.816596041239031,0.18919214204120996,0.15992628345298282,0,1,17,0,0,3,4,11,0,0,1,4,3,13,3,6,false,true,true,true,mixed-stress
CancelledStorm,12,CANARY_ELIGIBLE,None,0.7400000000000002,0,0,HEALTHY,None,0.9220394678855,0,0,0,6,6,0,0,8,4,0,0,0,1,-1,6,-1,2,2,false,false,false,true,cancel-noise
RecoveryAfterBadPatch,16,BLOCKED,HighMissRate,0.49999999999999994,0.3125,0.3125,HEALTHY,None,0.9754487908470268,0.022848038762889888,0.020761930801499982,0,0,16,0,0,6,0,10,0,0,1,1,-1,10,1,2,false,true,false,true,long-recovery
