scenarioName,variantName,eventCount,finalGate,finalReason,finalConfidence,finalMissRate,finalArrivalError,healthyCount,canaryCount,blockedCount,disabledCount,unknownCount,timeToFirstBlock,timeToFirstCanary,timeToFirstHealthy,timeToRecover,chatterCount,overPromotionFlag,recentFallbackHealthyViolation,recentStaleHealthyViolation,highArrivalErrorObserved,highArrivalErrorPreventedHealthy,expectedBehaviorMet,rakeSignal,notes
BoundaryCanaryConfidence,M2BaselineEMA,12,HEALTHY,None,0.8575944641554998,0,0.7786488059999999,10,2,0,0,0,-1,0,2,-1,2,true,false,false,false,false,true,true,boundary-canary
BoundaryCanaryConfidence,ReasonBindingEMA,12,HEALTHY,None,0.8575944641554998,0,0.7786488059999999,10,2,0,0,0,-1,0,2,-1,2,true,false,false,false,false,true,true,boundary-canary
BoundaryCanaryConfidence,ReasonBindingEMA_StrongerCommit,12,HEALTHY,None,0.8514025362859025,0,0.663151278710058,8,4,0,0,0,-1,0,4,-1,2,true,false,false,false,false,true,true,boundary-canary
BoundaryHealthyConfidence,M2BaselineEMA,12,HEALTHY,None,0.9287291608744999,0,0.25740078209999995,10,2,0,0,0,-1,0,2,-1,2,false,false,false,false,false,true,false,boundary-healthy
BoundaryHealthyConfidence,ReasonBindingEMA,12,HEALTHY,None,0.9287291608744999,0,0.25740078209999995,10,2,0,0,0,-1,0,2,-1,2,false,false,false,false,false,true,false,boundary-healthy
BoundaryHealthyConfidence,ReasonBindingEMA_StrongerCommit,12,HEALTHY,None,0.9134788012324289,0,0.24465507475580264,9,3,0,0,0,-1,0,3,-1,2,false,false,false,false,false,true,false,boundary-healthy
BoundaryMissRate,M2BaselineEMA,12,HEALTHY,None,0.8728849533994998,0.12019440299999998,0,6,2,4,0,0,3,0,2,5,6,false,false,false,false,false,true,false,boundary-miss
BoundaryMissRate,ReasonBindingEMA,12,HEALTHY,None,0.8728849533994998,0.12019440299999998,0,6,2,4,0,0,3,0,2,5,6,false,false,false,false,false,true,false,boundary-miss
BoundaryMissRate,ReasonBindingEMA_StrongerCommit,12,HEALTHY,None,0.8400986137663505,0.13454395615502904,0,3,3,6,0,0,3,0,6,6,5,false,false,false,false,false,true,false,boundary-miss
BoundaryArrivalError,M2BaselineEMA,12,HEALTHY,None,0.8432203750819998,0.09979455149999998,0.5709985415399998,3,9,0,0,0,-1,0,2,-1,6,true,false,false,false,false,false,true,boundary-arrival
BoundaryArrivalError,ReasonBindingEMA,12,HEALTHY,None,0.8432203750819998,0.09979455149999998,0.5709985415399998,3,9,0,0,0,-1,0,2,-1,6,true,false,false,false,false,false,true,boundary-arrival
BoundaryArrivalError,ReasonBindingEMA_StrongerCommit,12,CANARY_ELIGIBLE,None,0.8109022340127587,0.1067672141549545,0.6396479776992392,1,11,0,0,0,-1,0,8,-1,3,false,false,false,false,false,false,false,boundary-arrival
BurstyRealistic,M2BaselineEMA,18,HEALTHY,RecentStale,0.816596041239031,0.18919214204120996,0.15992628345298282,3,4,11,0,0,4,0,2,13,6,true,false,true,false,false,false,true,mixed-stress
BurstyRealistic,ReasonBindingEMA,18,CANARY_ELIGIBLE,RecentStale,0.816596041239031,0.18919214204120996,0.15992628345298282,2,5,11,0,0,4,0,2,13,6,false,false,false,false,false,true,false,mixed-stress
BurstyRealistic,ReasonBindingEMA_StrongerCommit,18,BLOCKED,RecentStale,0.7813237131334144,0.21057037088770478,0.2374404084049596,1,7,10,0,0,6,0,3,13,6,false,false,false,false,false,true,false,mixed-stress
HealthyThenLateJitterBurst,M2BaselineEMA,16,HEALTHY,None,0.9265640599715199,0.055210994999999985,0.5521099499999997,10,4,2,0,0,9,0,2,11,5,false,false,false,true,true,true,false,arrival-error
HealthyThenLateJitterBurst,ReasonBindingEMA,16,HEALTHY,None,0.9265640599715199,0.055210994999999985,0.5521099499999997,10,4,2,0,0,9,0,2,11,5,false,false,false,true,true,true,false,arrival-error
HealthyThenLateJitterBurst,ReasonBindingEMA_StrongerCommit,16,HEALTHY,None,0.8920050332306415,0.07585299986584321,0.7585299986584322,9,4,3,0,0,10,0,3,13,5,false,false,false,true,true,true,false,arrival-error
MatchThenFallbackThenRecover,M2BaselineEMA,13,HEALTHY,None,0.9351545594796498,0.06000098999999998,0,5,2,6,0,0,5,0,2,11,4,false,false,false,false,false,true,false,degrade+recover
MatchThenFallbackThenRecover,ReasonBindingEMA,13,HEALTHY,None,0.9351545594796498,0.06000098999999998,0,5,2,6,0,0,5,0,2,11,4,false,false,false,false,false,true,false,degrade+recover
MatchThenFallbackThenRecover,ReasonBindingEMA_StrongerCommit,13,HEALTHY,None,0.8920330409029895,0.08818816363568642,0,4,3,6,0,0,5,0,3,11,4,false,false,false,false,false,true,false,degrade+recover
RecoveryAfterBadPatch,M2BaselineEMA,14,HEALTHY,None,0.9498954915245448,0.046628650536509976,0.04237128734999997,4,0,10,0,0,1,10,10,10,2,false,false,false,false,false,true,false,long-recovery
RecoveryAfterBadPatch,ReasonBindingEMA,14,HEALTHY,None,0.9498954915245448,0.046628650536509976,0.04237128734999997,4,0,10,0,0,1,10,10,10,2,false,false,false,false,false,true,false,long-recovery
RecoveryAfterBadPatch,ReasonBindingEMA_StrongerCommit,14,HEALTHY,None,0.8876954090468512,0.09698716273428837,0.09169353414359825,1,3,10,0,0,1,10,13,10,3,false,false,false,false,false,true,false,long-recovery
