scenarioName,variantName,eventCount,finalGate,finalReason,finalConfidence,finalMissRate,finalArrivalError,healthyCount,canaryCount,blockedCount,disabledCount,unknownCount,timeToFirstHealthy,timeToFirstCanary,timeToRecover,chatterCount,overPromotionFlag,boundaryOverPromotionFlag,healthyMarginPassCount,healthyStreakCountFinal,healthySuppressedByMarginCount,healthySuppressedByStreakCount,recentFallbackHealthyViolation,recentStaleHealthyViolation,highArrivalErrorObserved,expectedBehaviorMet,rakeSignal,notes
BoundaryCanaryConfidence,ReasonBindingEMA_StrongerCommit,12,HEALTHY,None,0.8514025362859025,0,0.663151278710058,8,4,0,0,0,4,0,-1,2,true,true,8,8,0,0,false,false,false,false,true,boundary-canary
BoundaryCanaryConfidence,HealthyMarginGate,12,CANARY_ELIGIBLE,None,0.8514025362859025,0,0.663151278710058,1,11,0,0,0,10,0,-1,3,false,false,1,0,7,0,false,false,false,true,false,boundary-canary
BoundaryCanaryConfidence,HealthyStreakGate,12,HEALTHY,None,0.8514025362859025,0,0.663151278710058,6,6,0,0,0,6,0,-1,2,true,true,8,8,0,2,false,false,false,false,true,boundary-canary
BoundaryCanaryConfidence,HealthyMarginAndStreak,12,CANARY_ELIGIBLE,None,0.8514025362859025,0,0.663151278710058,0,12,0,0,0,-1,0,-1,1,false,false,1,0,7,8,false,false,false,true,false,boundary-canary
BoundaryCanaryConfidenceSustainedGood,ReasonBindingEMA_StrongerCommit,13,HEALTHY,None,0.9667471863352101,0,0.03667741365743929,9,4,0,0,0,4,0,-1,2,false,false,9,9,0,0,false,false,false,true,false,boundary-canary-good
BoundaryCanaryConfidenceSustainedGood,HealthyMarginGate,13,HEALTHY,None,0.9667471863352101,0,0.03667741365743929,6,7,0,0,0,7,0,-1,2,false,false,6,6,3,0,false,false,false,true,false,boundary-canary-good
BoundaryCanaryConfidenceSustainedGood,HealthyStreakGate,13,HEALTHY,None,0.9667471863352101,0,0.03667741365743929,7,6,0,0,0,6,0,-1,2,false,false,9,9,0,2,false,false,false,true,false,boundary-canary-good
BoundaryCanaryConfidenceSustainedGood,HealthyMarginAndStreak,13,HEALTHY,None,0.9667471863352101,0,0.03667741365743929,4,9,0,0,0,9,0,-1,2,false,false,6,6,3,5,false,false,false,true,false,boundary-canary-good
BoundaryHealthyConfidence,ReasonBindingEMA_StrongerCommit,12,HEALTHY,None,0.9134788012324289,0,0.24465507475580264,9,3,0,0,0,3,0,-1,2,false,false,9,9,0,0,false,false,false,true,false,boundary-healthy
BoundaryHealthyConfidence,HealthyMarginGate,12,HEALTHY,None,0.9134788012324289,0,0.24465507475580264,5,7,0,0,0,7,0,-1,2,false,false,5,5,4,0,false,false,false,true,false,boundary-healthy
BoundaryHealthyConfidence,HealthyStreakGate,12,HEALTHY,None,0.9134788012324289,0,0.24465507475580264,7,5,0,0,0,5,0,-1,2,false,false,9,9,0,2,false,false,false,true,false,boundary-healthy
BoundaryHealthyConfidence,HealthyMarginAndStreak,12,HEALTHY,None,0.9134788012324289,0,0.24465507475580264,3,9,0,0,0,9,0,-1,2,false,false,5,5,4,6,false,false,false,true,false,boundary-healthy
